Index,Action Name,CISA Phase,Threat Match Category,Real-World SOC Implementation
0,monitor,Detection,Baseline / Low Severity / False Positive,"Log event, close alert as non-malicious."
1,enable_deep_logging,Detection,Insufficient Data / Suspicious but Unconfirmed,"Flip Zeek/OSQuery to verbose mode; enable full PCAP on affected subnet."
2,create_ioc_alert,Detection,New Indicator Discovered / CTI Match,"Extract IOCs and inject into Wazuh SIEM ruleset for enterprise-wide correlation."
3,block_source_ip,Containment,External Scanning / C2 Beaconing / DDoS,"Add perimeter firewall deny rule for offending source IP."
4,block_dest_ip,Containment,Outbound C2 / Data Exfiltration,"Add egress firewall deny rule blocking traffic to attacker infrastructure."
5,dns_sinkhole,Containment,C2 Domain Resolution / Phishing Domain,"Redirect attacker domain to sinkhole IP in local DNS resolver."
6,block_port,Containment,Unauthorized Service / Exploit on Specific Port,"Close specific port via firewall rule (e.g., RDP:3389, SMB:445)."
7,isolate_host,Containment,Lateral Movement / Ransomware Spreading,"Drop all traffic to/from host via EDR isolation or VLAN reassignment."
8,kill_process,Containment,Malicious Process Execution / Cryptominer / RAT,"Kill specific PID via OSQuery/EDR without isolating the host."
9,quarantine_file,Containment,Trojan / Phishing Attachment / Dropped Malware,"Move binary to encrypted vault; record hash; prevent execution."
10,quarantine_email,Containment,Phishing Email / Malicious Attachment,"Purge email from all mailboxes; block sender; add attachment hash to blocklist."
11,reset_credentials,Containment,Brute Force / Credential Dumping / Pass-the-Hash,"Force password reset and expire session tokens in AD/IAM."
12,disable_account,Containment,Compromised Account / Unauthorized Privilege,"Disable user/service account entirely in AD/LDAP."
13,remove_persistence,Eradication,Scheduled Task Backdoor / Registry Autorun,"Delete persistence mechanism: scheduled task, registry key, or service."
14,restore_registry,Eradication,Registry Tampering / Execution Flow Hijack,"Revert modified registry keys to known-good baseline."
15,restore_defense_config,Eradication,Defender/AV Disabled / Logging Tampered,"Re-enable security tools; restore logging config; reload security drivers."
16,patch_vulnerability,Eradication,Known Exploited Vulnerability / Unpatched Service,"Trigger patch deployment for exploited CVE on affected hosts."
17,snapshot_forensics,Detection,High-Severity Incident Requiring Investigation,"Capture memory dump and disk image for forensic evidence preservation."
18,sandbox_redirect,Containment,Active Adversary — Advanced Deception,"Redirect adversary to isolated sandbox/honeynet for TTP extraction."
19,escalate_to_human,All Phases,High-Uncertainty / Critical Asset / Major Incident,"Flag to Tier-3 analyst; freeze automation; initiate CISA notification."
